lon,lat,FloorID,BuildingID,locID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP,pos_loc,SectionID,x,y
-7536.6211999990055,4864934.2251999965,2,1,106,2,2,23,1371713691,,,154.71719999983816,188.4801840251312
-7632.143599998206,4864982.217100002,0,0,122,2,11,13,1369909710,,,59.19480000063777,236.472084030509
-7533.896200001242,4864939.258299999,2,1,105,2,2,23,1371713841,,,157.4421999976021,193.51328402757645
-7559.497299998999,4864887.650399998,2,1,112,2,2,23,1371714307,,,131.84109999984506,141.90538402646783
-7510.437173217535,4864949.2514167065,2,1,103,1,2,23,1371714128,,,180.90122678130862,203.5064007351175
-7528.816401548684,4864959.430612221,2,1,104,1,2,23,1371714200,,,162.52199845016003,213.6855962499976
-7523.628199998288,4864951.958300002,2,1,104,2,2,23,1371714166,,,167.71020000055526,206.21328403055668
-7571.093400001526,4864871.7184000015,2,1,110,2,2,23,1371714393,,,120.24499999731779,125.97338403016329
-7559.78200000152,4864871.373499997,2,1,108,2,2,23,1371714467,,,131.55639999732375,125.62848402559756
-7562.186200000346,4864866.785099998,2,1,109,2,2,23,1371714433,,,129.15219999849793,121.0400840267539
-7564.196299999952,4864887.1932,2,1,111,2,2,23,1371714355,,,127.14209999889135,141.4481840282679
-7555.132300000639,4864885.251500003,2,1,107,2,2,23,1371714509,,,136.206099998205,139.50648403167722
-7520.724500000479,4864892.4384,2,1,15,2,2,23,1371714730,,,170.613899998365,146.6933840289712
-7521.867186445744,4864889.477093995,2,1,29,1,2,23,1371714802,,,169.4712135530999,143.73207802325487
-7537.339899998158,4864895.785400003,2,1,117,2,2,23,1371714556,,,153.99850000068545,150.04038403183222
-7512.604163631797,4864884.949543999,2,1,16,1,2,23,1371714946,,,178.7342363670469,139.20452802721408
-7520.755800001323,4864891.4821000025,2,1,29,2,2,23,1371714879,,,170.58259999752045,145.737084031105
-7516.841499999165,4864889.291000001,2,1,28,2,2,23,1371714847,,,174.49689999967904,143.5459840297699
-7482.4561760276565,4864901.429579936,2,1,10,1,2,23,1371715082,,,208.88222397118716,155.6845639646053
-7491.030633945018,4864865.38593483,2,1,2,1,2,23,1371715259,,,200.30776605382562,119.64091885834931
-7501.221900001168,4864863.072899997,2,1,2,2,2,23,1371715227,,,190.11649999767545,117.32788402587177
-7506.731899999082,4864850.6839999985,2,1,4,2,2,23,1371715373,,,184.60649999976158,104.93898402713242
-7502.826900001615,4864860.174599998,2,1,3,2,2,23,1371715304,,,188.51149999722838,114.42958402633668
-7511.736699998379,4864841.647200003,2,1,5,2,2,23,1371715416,,,179.6017000004649,95.90218403190374
-7516.474500000479,4864844.597199999,2,1,6,2,2,23,1371715451,,,174.86389999836499,98.85218402743341
-7506.529300000519,4864862.554300003,2,1,8,2,2,23,1371715528,,,184.80909999832508,116.80928403139114
-7511.5214999988675,4864853.5402000025,2,1,7,2,2,23,1371715490,,,179.81689999997616,107.79518403112888
-7470.518699999899,4864863.662799999,2,1,26,2,2,23,1371715835,,,220.819699998945,117.91778402775526
